,steps,words,feedback,ncands
0,3,"['tares', 'drama', 'cigar']","['XYYXX', 'XYYXY', 'GGGGG']","[70, 10, 10]"
1,3,"['tares', 'retro', 'rebut']","['YXYYX', 'GGYYX', 'GGGGG']","[19, 4, 4]"
2,2,"['tares', 'sissy']","['XXXXY', 'GGGGG']","[94, 94]"
3,4,"['tares', 'doily', 'hunch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['tares', 'leave', 'adage', 'awake']","['XYXYX', 'XYGXG', 'GXGXG', 'GGGGG']","[81, 8, 2, 2]"
5,3,"['tares', 'sissy', 'blush']","['XXXXY', 'YXYGX', 'GGGGG']","[94, 3, 3]"
6,4,"['tares', 'allay', 'local', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'GGGGG']","[98, 8, 2, 2]"
7,3,"['tares', 'leave', 'evade']","['XYXYX', 'XYGYG', 'GGGGG']","[81, 1, 1]"
8,3,"['tares', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,3,"['tares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[11, 1, 1]"
10,3,"['tares', 'elate', 'heath']","['YYXYX', 'YXGGY', 'GGGGG']","[30, 3, 3]"
11,3,"['tares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[70, 2, 2]"
12,5,"['tares', 'level', 'expel', 'dowel', 'model']","['XXXGX', 'YYXGG', 'YXXGG', 'YGXGG', 'GGGGG']","[56, 9, 5, 1, 1]"
13,3,"['tares', 'harry', 'karma']","['XGGXX', 'XGGYX', 'GGGGG']","[13, 6, 6]"
14,3,"['tares', 'stout', 'stink']","['YXXXY', 'GGXXY', 'GGGGG']","[55, 5, 5]"
15,4,"['tares', 'rearm', 'grave', 'grade']","['XYYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[54, 13, 4, 4]"
16,4,"['tares', 'octet', 'fleet', 'quiet']","['YXXGX', 'XXYGG', 'XXYGG', 'GGGGG']","[14, 7, 4, 4]"
17,5,"['tares', 'eerie', 'belly', 'beech', 'bench']","['XXXYX', 'YGXXY', 'GGXXX', 'GGYGG', 'GGGGG']","[147, 27, 3, 1, 1]"
18,3,"['tares', 'elate', 'abate']","['YYXYX', 'YXGGG', 'GGGGG']","[30, 3, 3]"
19,4,"['tares', 'eerie', 'neigh', 'feign']","['XXXYX', 'YGXYY', 'YGGGX', 'GGGGG']","[147, 5, 2, 2]"
20,3,"['tares', 'radar', 'major']","['XGYXX', 'YGXYG', 'GGGGG']","[27, 7, 7]"
21,4,"['tares', 'elate', 'heath', 'death']","['YYXYX', 'YXGGY', 'YGGGG', 'GGGGG']","[30, 3, 1, 1]"
22,3,"['tares', 'spore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[14, 2, 2]"
23,3,"['tares', 'sport', 'crust']","['YXYXY', 'YXXYG', 'GGGGG']","[14, 2, 2]"
24,4,"['tares', 'stout', 'stoop', 'stool']","['YXXXY', 'GGGXY', 'GGGGX', 'GGGGG']","[55, 7, 2, 2]"
25,3,"['tares', 'doily', 'colon']","['XXXXX', 'XGXYX', 'GGGGG']","[227, 2, 2]"
26,3,"['tares', 'shale', 'abase']","['XYXYY', 'YXGXG', 'GGGGG']","[28, 3, 3]"
27,3,"['tares', 'harry', 'marry']","['XGGXX', 'XGGGG', 'GGGGG']","[13, 3, 3]"
28,3,"['tares', 'grate', 'react']","['YYYYX', 'XYGYY', 'GGGGG']","[9, 2, 2]"
29,3,"['tares', 'tatty', 'batty']","['YGXXX', 'YGGGG', 'GGGGG']","[32, 4, 4]"
30,3,"['tares', 'erode', 'pride']","['XXYYX', 'YGXGG', 'GGGGG']","[57, 4, 4]"
31,3,"['tares', 'mucus', 'floss']","['XXXXG', 'XXXXG', 'GGGGG']","[11, 3, 3]"
32,4,"['tares', 'eerie', 'denim', 'helix']","['XXXYX', 'YGXGY', 'XGXGX', 'GGGGG']","[147, 5, 1, 1]"
33,5,"['tares', 'drama', 'briar', 'groan', 'croak']","['XYYXX', 'XGYXY', 'XGXGY', 'XGGGX', 'GGGGG']","[70, 7, 3, 1, 1]"
34,5,"['tares', 'start', 'stank', 'stash', 'staff']","['YYXXY', 'GGGXY', 'GGGXX', 'GGGYX', 'GGGGG']","[23, 10, 5, 4, 4]"
35,3,"['tares', 'eager', 'paper']","['XGYGX', 'YGXGG', 'GGGGG']","[19, 11, 11]"
36,5,"['tares', 'level', 'money', 'kneed', 'unfed']","['XXXGX', 'XYXGX', 'XXYGX', 'XGYGG', 'GGGGG']","[56, 23, 6, 2, 2]"
37,4,"['tares', 'eerie', 'dwell', 'whelp']","['XXXYX', 'YYXXY', 'XYGGY', 'GGGGG']","[147, 6, 1, 1]"
38,3,"['tares', 'trait', 'trawl']","['GYYXX', 'GGGXY', 'GGGGG']","[10, 3, 3]"
39,3,"['tares', 'ditto', 'outdo']","['YXXXX', 'YXGYG', 'GGGGG']","[78, 1, 1]"
40,4,"['tares', 'leave', 'abode', 'adobe']","['XYXYX', 'XYYXG', 'GYGYG', 'GGGGG']","[81, 6, 1, 1]"
41,4,"['tares', 'drama', 'crank', 'crazy']","['XYYXX', 'XGGXY', 'GGGXX', 'GGGGG']","[70, 17, 2, 2]"
42,4,"['tares', 'riser', 'sewer', 'sower']","['XXYGY', 'YXYGG', 'GYGGG', 'GGGGG']","[15, 8, 1, 1]"
