,steps,words,feedback,ncands
0,5,"['lares', 'drama', 'actor', 'vicar', 'cigar']","['XYYXX', 'XYYXY', 'YYXXG', 'XGYGG', 'GGGGG']","[74, 8, 2, 1, 1]"
1,5,"['lares', 'crepe', 'retro', 'remit', 'rebut']","['XXYYX', 'XYYXY', 'GGYYX', 'GGXXG', 'GGGGG']","[81, 12, 3, 1, 1]"
2,2,"['lares', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,4,"['lares', 'ponty', 'chump', 'humph']","['XXXXX', 'YXXXX', 'XYYYY', 'GGGGG']","[205, 2, 1, 1]"
4,3,"['lares', 'abate', 'awake']","['XYXYX', 'GXGXG', 'GGGGG']","[59, 4, 4]"
5,4,"['lares', 'spill', 'flush', 'blush']","['YXXXY', 'YXXYY', 'XGGGG', 'GGGGG']","[35, 2, 1, 1]"
6,5,"['lares', 'allay', 'total', 'vocal', 'focal']","['YYXXX', 'YYYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[71, 13, 4, 1, 1]"
7,6,"['lares', 'abate', 'peace', 'image', 'quake', 'evade']","['XYXYX', 'YXGXG', 'XYGXG', 'XXGXG', 'XXGXG', 'GGGGG']","[59, 9, 5, 3, 1, 1]"
8,3,"['lares', 'tally', 'naval']","['YGXXX', 'XGYYX', 'GGGGG']","[23, 6, 6]"
9,3,"['lares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[12, 1, 1]"
10,4,"['lares', 'abate', 'death', 'heath']","['XYXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[59, 3, 1, 1]"
11,3,"['lares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[74, 2, 2]"
12,4,"['lares', 'level', 'towel', 'model']","['YXXGX', 'YYXGG', 'XGXGG', 'GGGGG']","[29, 12, 1, 1]"
13,4,"['lares', 'parry', 'march', 'karma']","['XGGXX', 'XGGYX', 'YGGXX', 'GGGGG']","[16, 6, 1, 1]"
14,5,"['lares', 'sissy', 'stint', 'sting', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 17, 2, 1, 1]"
15,4,"['lares', 'erase', 'grace', 'grade']","['XYYYX', 'YGGXG', 'GGGXG', 'GGGGG']","[56, 19, 5, 5]"
16,3,"['lares', 'tenet', 'quiet']","['XXXGX', 'YYXGG', 'GGGGG']","[44, 5, 5]"
17,4,"['lares', 'eerie', 'teeth', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGGGG']","[130, 26, 2, 2]"
18,2,"['lares', 'abate']","['XYXYX', 'GGGGG']","[59, 59]"
19,4,"['lares', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[130, 6, 3, 3]"
20,3,"['lares', 'radar', 'major']","['XGYXX', 'YGXYG', 'GGGGG']","[26, 6, 6]"
21,3,"['lares', 'abate', 'death']","['XYXYX', 'YXGGY', 'GGGGG']","[59, 3, 3]"
22,3,"['lares', 'spore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 4, 4]"
23,4,"['lares', 'short', 'trust', 'crust']","['XXYXY', 'YXXYG', 'YGGGG', 'GGGGG']","[33, 4, 1, 1]"
24,3,"['lares', 'spill', 'stool']","['YXXXY', 'GXXYG', 'GGGGG']","[35, 2, 2]"
25,3,"['lares', 'folly', 'colon']","['YXXXX', 'XGGYX', 'GGGGG']","[102, 1, 1]"
26,5,"['lares', 'state', 'phase', 'cease', 'abase']","['XYXYY', 'YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[35, 5, 2, 1, 1]"
27,5,"['lares', 'parry', 'harry', 'carry', 'marry']","['XGGXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 1, 1]"
28,4,"['lares', 'erase', 'heart', 'react']","['XYYYX', 'YYGXY', 'XGGYG', 'GGGGG']","[56, 10, 1, 1]"
29,6,"['lares', 'canny', 'tatty', 'fatty', 'patty', 'batty']","['XGXXX', 'XGXXG', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[85, 15, 3, 2, 1, 1]"
30,5,"['lares', 'crepe', 'prize', 'prime', 'pride']","['XXYYX', 'XGYYG', 'GGGXG', 'GGGXG', 'GGGGG']","[81, 8, 2, 1, 1]"
31,4,"['lares', 'bliss', 'gloss', 'floss']","['YXXXG', 'XGXGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
