steps,words,feedback,ncands
3,"['lares', 'droit', 'cigar']","['XYYXX', 'XYXYX', 'GGGGG']","[74, 2, 2]"
3,"['lares', 'crout', 'rebut']","['XXYYX', 'XYXGG', 'GGGGG']","[81, 1, 1]"
4,"['lares', 'point', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[114, 6, 1, 1]"
4,"['lares', 'count', 'dumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[205, 15, 1, 1]"
3,"['lares', 'death', 'awake']","['XYXYX', 'XYGXX', 'GGGGG']","[59, 7, 7]"
3,"['lares', 'thilk', 'blush']","['YXXXY', 'XYXYX', 'GGGGG']","[35, 5, 5]"
3,"['lares', 'tonic', 'focal']","['YYXXX', 'XGXXY', 'GGGGG']","[71, 2, 2]"
4,"['lares', 'death', 'adage', 'evade']","['XYXYX', 'YYGXX', 'YYGXG', 'GGGGG']","[59, 2, 1, 1]"
3,"['lares', 'minty', 'naval']","['YGXXX', 'XXYXX', 'GGGGG']","[23, 1, 1]"
3,"['lares', 'verso', 'serve']","['XXGYY', 'YGGYX', 'GGGGG']","[12, 1, 1]"
3,"['lares', 'death', 'heath']","['XYXYX', 'XGGGG', 'GGGGG']","[59, 1, 1]"
3,"['lares', 'droit', 'dwarf']","['XYYXX', 'GYXXX', 'GGGGG']","[74, 1, 1]"
3,"['lares', 'divot', 'model']","['YXXGX', 'YXXYX', 'GGGGG']","[29, 2, 2]"
4,"['lares', 'party', 'cargo', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 4, 1, 1]"
4,"['lares', 'point', 'sting', 'stink']","['XXXXY', 'XXGGY', 'GGGGX', 'GGGGG']","[114, 2, 1, 1]"
4,"['lares', 'bract', 'drape', 'grade']","['XYYYX', 'XGGXX', 'YGGXG', 'GGGGG']","[56, 7, 1, 1]"
3,"['lares', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['lares', 'cunit', 'bench']","['XXXYX', 'YXGXX', 'GGGGG']","[130, 5, 5]"
3,"['lares', 'death', 'abate']","['XYXYX', 'XYGGX', 'GGGGG']","[59, 3, 3]"
3,"['lares', 'cunit', 'feign']","['XXXYX', 'XXYYX', 'GGGGG']","[130, 11, 11]"
3,"['lares', 'poind', 'major']","['XGYXX', 'XYXXX', 'GGGGG']","[26, 5, 5]"
2,"['lares', 'death']","['XYXYX', 'GGGGG']","[59, 59]"
4,"['lares', 'spire', 'crest', 'fresh']","['XXYYY', 'YXXYY', 'XGGGX', 'GGGGG']","[18, 3, 1, 1]"
3,"['lares', 'thorp', 'crust']","['XXYXY', 'YXXYX', 'GGGGG']","[33, 3, 3]"
3,"['lares', 'thilk', 'stool']","['YXXXY', 'YXXYX', 'GGGGG']","[35, 1, 1]"
3,"['lares', 'count', 'colon']","['YXXXX', 'GGXYX', 'GGGGG']","[102, 1, 1]"
3,"['lares', 'shakt', 'abase']","['XYXYY', 'YXGXX', 'GGGGG']","[35, 3, 3]"
5,"['lares', 'party', 'carry', 'harry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 4, 2, 1, 1]"
3,"['lares', 'bract', 'react']","['XYYYX', 'XYGGG', 'GGGGG']","[56, 1, 1]"
3,"['lares', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[85, 4, 4]"
3,"['lares', 'crout', 'pride']","['XXYYX', 'XGXXX', 'GGGGG']","[81, 9, 9]"
