,steps,words,feedback,ncands
0,4,"['tales', 'array', 'vicar', 'cigar']","['XYXXX', 'YYYGX', 'XGYGG', 'GGGGG']","[102, 2, 1, 1]"
1,5,"['tales', 'teeth', 'refit', 'recut', 'rebut']","['YXXYX', 'YGYYX', 'GGXXG', 'GGXGG', 'GGGGG']","[52, 14, 2, 1, 1]"
2,2,"['tales', 'sissy']","['XXXXY', 'GGGGG']","[88, 88]"
3,4,"['tales', 'crony', 'humid', 'humph']","['XXXXX', 'XXXXX', 'GGGXX', 'GGGGG']","[221, 4, 1, 1]"
4,3,"['tales', 'aware', 'awake']","['XYXYX', 'GGGXG', 'GGGGG']","[83, 1, 1]"
5,5,"['tales', 'slush', 'flush', 'plush', 'blush']","['XXYXY', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[28, 3, 2, 1, 1]"
6,3,"['tales', 'flail', 'focal']","['XYYXX', 'GYYXG', 'GGGGG']","[67, 1, 1]"
7,6,"['tales', 'aware', 'peace', 'image', 'quake', 'evade']","['XYXYX', 'YXGXG', 'XYGXG', 'XXGXG', 'XXGXG', 'GGGGG']","[83, 8, 5, 3, 1, 1]"
8,3,"['tales', 'canal', 'naval']","['XGYXX', 'XGYGG', 'GGGGG']","[18, 1, 1]"
9,3,"['tales', 'sense', 'serve']","['XXXYY', 'GGXYG', 'GGGGG']","[69, 3, 3]"
10,4,"['tales', 'agate', 'death', 'heath']","['YYXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[24, 3, 1, 1]"
11,4,"['tales', 'array', 'chard', 'dwarf']","['XYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[102, 13, 1, 1]"
12,4,"['tales', 'level', 'expel', 'model']","['XXYGX', 'YYXGG', 'YXXGG', 'GGGGG']","[43, 11, 7, 7]"
13,4,"['tales', 'mania', 'gamma', 'karma']","['XGXXX', 'YGXXG', 'XGYGG', 'GGGGG']","[82, 2, 1, 1]"
14,5,"['tales', 'stout', 'strip', 'stick', 'stink']","['YXXXY', 'GGXXY', 'GGXYX', 'GGGXG', 'GGGGG']","[67, 5, 4, 1, 1]"
15,4,"['tales', 'aware', 'grave', 'grade']","['XYXYX', 'YXGYG', 'GGGXG', 'GGGGG']","[83, 14, 4, 4]"
16,3,"['tales', 'otter', 'quiet']","['YXXGX', 'XYYGX', 'GGGGG']","[22, 4, 4]"
17,5,"['tales', 'eerie', 'needy', 'begun', 'bench']","['XXXYX', 'YGXXY', 'YGYXX', 'GGXXY', 'GGGGG']","[165, 14, 4, 1, 1]"
18,3,"['tales', 'agate', 'abate']","['YYXYX', 'GXGGG', 'GGGGG']","[24, 1, 1]"
19,4,"['tales', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[165, 5, 3, 3]"
20,4,"['tales', 'mania', 'march', 'major']","['XGXXX', 'GGXXY', 'GGYXX', 'GGGGG']","[82, 10, 2, 2]"
21,3,"['tales', 'agate', 'death']","['YYXYX', 'YXGGY', 'GGGGG']","[24, 3, 3]"
22,3,"['tales', 'sense', 'fresh']","['XXXYY', 'YYXGY', 'GGGGG']","[69, 2, 2]"
23,3,"['tales', 'stout', 'crust']","['YXXXY', 'YYXYG', 'GGGGG']","[67, 2, 2]"
24,3,"['tales', 'still', 'stool']","['YXYXY', 'GGXYG', 'GGGGG']","[6, 1, 1]"
