steps,words,feedback,ncands
3,"['tares', 'brand', 'cigar']","['XYYXX', 'XYYXX', 'GGGGG']","[70, 9, 9]"
3,"['tares', 'recut', 'rebut']","['YXYYX', 'GGXGG', 'GGGGG']","[19, 1, 1]"
4,"['tares', 'nkosi', 'missy', 'sissy']","['XXXXY', 'XXXGY', 'XGGGG', 'GGGGG']","[94, 4, 1, 1]"
4,"['tares', 'nould', 'jumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[227, 14, 1, 1]"
4,"['tares', 'glace', 'knave', 'awake']","['XYXYX', 'XXGXG', 'YXGXG', 'GGGGG']","[81, 8, 2, 2]"
3,"['tares', 'nkosi', 'blush']","['XXXXY', 'XXXGX', 'GGGGG']","[94, 8, 8]"
3,"['tares', 'alcid', 'focal']","['XYXXX', 'YYGXX', 'GGGGG']","[98, 3, 3]"
4,"['tares', 'glace', 'knave', 'evade']","['XYXYX', 'XXGXG', 'XXGYG', 'GGGGG']","[81, 8, 1, 1]"
4,"['tares', 'chynd', 'mango', 'naval']","['XGXXX', 'XXXYX', 'XGYXX', 'GGGGG']","[66, 8, 1, 1]"
3,"['tares', 'curse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[11, 1, 1]"
3,"['tares', 'clade', 'heath']","['YYXYX', 'XXGXY', 'GGGGG']","[30, 3, 3]"
4,"['tares', 'brand', 'diary', 'dwarf']","['XYYXX', 'XYGXY', 'GXGGX', 'GGGGG']","[70, 2, 1, 1]"
5,"['tares', 'pelon', 'bowel', 'hovel', 'model']","['XXXGX', 'XYYYX', 'XGXGG', 'XGXGG', 'GGGGG']","[56, 5, 2, 1, 1]"
3,"['tares', 'carry', 'karma']","['XGGXX', 'XGGYX', 'GGGGG']","[13, 4, 4]"
4,"['tares', 'moult', 'stick', 'stink']","['YXXXY', 'XXXXY', 'GGGXG', 'GGGGG']","[55, 6, 1, 1]"
3,"['tares', 'crape', 'grade']","['XYYYX', 'XGGXG', 'GGGGG']","[54, 7, 7]"
4,"['tares', 'motel', 'duvet', 'quiet']","['YXXGX', 'XXYGX', 'XGXGG', 'GGGGG']","[14, 3, 1, 1]"
3,"['tares', 'cling', 'bench']","['XXXYX', 'YXXYX', 'GGGGG']","[147, 7, 7]"
3,"['tares', 'clade', 'abate']","['YYXYX', 'XXGXG', 'GGGGG']","[30, 3, 3]"
4,"['tares', 'cling', 'deign', 'feign']","['XXXYX', 'XXGYY', 'XGGGG', 'GGGGG']","[147, 3, 1, 1]"
3,"['tares', 'avion', 'major']","['XGYXX', 'YXXGX', 'GGGGG']","[27, 4, 4]"
3,"['tares', 'clade', 'death']","['YYXYX', 'XXGYY', 'GGGGG']","[30, 1, 1]"
3,"['tares', 'prose', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[14, 1, 1]"
3,"['tares', 'frost', 'crust']","['YXYXY', 'XGXGG', 'GGGGG']","[14, 2, 2]"
4,"['tares', 'moult', 'sloth', 'stool']","['YXXXY', 'XYXYY', 'GYGYX', 'GGGGG']","[55, 2, 1, 1]"
3,"['tares', 'nould', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 2, 2]"
3,"['tares', 'shalm', 'abase']","['XYXYY', 'YXGXX', 'GGGGG']","[28, 3, 3]"
4,"['tares', 'carry', 'harry', 'marry']","['XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[13, 3, 2, 2]"
4,"['tares', 'great', 'heart', 'react']","['YYYYX', 'XYYYG', 'XGGYG', 'GGGGG']","[9, 2, 1, 1]"
4,"['tares', 'hilum', 'baton', 'batty']","['YGXXX', 'XXXXX', 'GGGXX', 'GGGGG']","[32, 5, 1, 1]"
3,"['tares', 'cripe', 'pride']","['XXYYX', 'XGGYG', 'GGGGG']","[57, 3, 3]"
3,"['tares', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[11, 2, 2]"
5,"['tares', 'cling', 'field', 'belie', 'helix']","['XXXYX', 'XYYXX', 'XYYYX', 'XGGGY', 'GGGGG']","[147, 7, 2, 1, 1]"
4,"['tares', 'brand', 'armor', 'croak']","['XYYXX', 'XGYXX', 'YGXYY', 'GGGGG']","[70, 4, 1, 1]"
3,"['tares', 'clint', 'staff']","['YYXXY', 'XXXXY', 'GGGGG']","[23, 4, 4]"
4,"['tares', 'lager', 'caper', 'paper']","['XGYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[19, 8, 1, 1]"
3,"['tares', 'pelon', 'unfed']","['XXXGX', 'XYXXY', 'GGGGG']","[56, 4, 4]"
5,"['tares', 'cling', 'below', 'dwell', 'whelp']","['XXXYX', 'XYXXX', 'XYYXY', 'XYGGY', 'GGGGG']","[147, 11, 2, 1, 1]"
3,"['tares', 'trail', 'trawl']","['GYYXX', 'GGGXG', 'GGGGG']","[10, 1, 1]"
4,"['tares', 'hotly', 'ditto', 'outdo']","['YXXXX', 'XYGXX', 'YXGYG', 'GGGGG']","[78, 4, 1, 1]"
4,"['tares', 'glace', 'abide', 'adobe']","['XYXYX', 'XXYXG', 'GYXYG', 'GGGGG']","[81, 7, 1, 1]"
6,"['tares', 'brand', 'cramp', 'crack', 'crawl', 'crazy']","['XYYXX', 'XGGXX', 'GGGXX', 'GGGYX', 'GGGXX', 'GGGGG']","[70, 9, 3, 2, 1, 1]"
3,"['tares', 'sewer', 'sower']","['XXYGY', 'GYGGG', 'GGGGG']","[15, 1, 1]"
4,"['tares', 'crape', 'opera', 'repay']","['XYYYX', 'XYYYY', 'XYYYY', 'GGGGG']","[54, 2, 1, 1]"
3,"['tares', 'hotly', 'digit']","['YXXXX', 'XXYXX', 'GGGGG']","[78, 4, 4]"
3,"['tares', 'great', 'crate']","['YYYYX', 'XGYYY', 'GGGGG']","[9, 2, 2]"
4,"['tares', 'nould', 'clump', 'cluck']","['XXXXX', 'XXGYX', 'GGGXX', 'GGGGG']","[227, 7, 1, 1]"
5,"['tares', 'colin', 'guise', 'seize', 'spike']","['XXXYY', 'XXXYX', 'XXGYG', 'GYGXG', 'GGGGG']","[61, 6, 2, 1, 1]"
5,"['tares', 'nould', 'picky', 'civic', 'mimic']","['XXXXX', 'XXXXX', 'XGYXX', 'YGXGG', 'GGGGG']","[227, 12, 2, 1, 1]"
7,"['tares', 'nould', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'YGGXG', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 6, 5, 4, 3, 2, 2]"
4,"['tares', 'chynd', 'gamma', 'maxim']","['XGXXX', 'XXXXX', 'XGYYY', 'GGGGG']","[66, 8, 1, 1]"
4,"['tares', 'pelon', 'liken', 'linen']","['XXXGX', 'XYYXG', 'GGXGG', 'GGGGG']","[56, 3, 1, 1]"
3,"['tares', 'motel', 'unmet']","['YXXGX', 'YXYGX', 'GGGGG']","[14, 1, 1]"
3,"['tares', 'colin', 'flesh']","['XXXYY', 'XXYXX', 'GGGGG']","[61, 6, 6]"
3,"['tares', 'nould', 'booby']","['XXXXX', 'XGXXX', 'GGGGG']","[227, 11, 11]"
3,"['tares', 'birth', 'forth']","['YXGXX', 'XXGGG', 'GGGGG']","[9, 3, 3]"
3,"['tares', 'burst', 'first']","['YXGXY', 'XXGGG', 'GGGGG']","[5, 2, 2]"
3,"['tares', 'clint', 'stand']","['YYXXY', 'XXXGY', 'GGGGG']","[23, 2, 2]"
5,"['tares', 'cling', 'below', 'belle', 'belly']","['XXXYX', 'XYXXX', 'GGGXX', 'GGGGY', 'GGGGG']","[147, 11, 2, 1, 1]"
