steps,words,feedback,ncands
4,"['tales', 'bronc', 'acrid', 'cigar']","['XYXXX', 'XYXXY', 'YYYYX', 'GGGGG']","[102, 7, 2, 2]"
4,"['tales', 'recti', 'retro', 'rebut']","['YXXYX', 'GGXYX', 'GGYYX', 'GGGGG']","[52, 3, 1, 1]"
4,"['tales', 'phony', 'missy', 'sissy']","['XXXXY', 'XXXXG', 'XGGGG', 'GGGGG']","[88, 6, 1, 1]"
4,"['tales', 'groin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[221, 14, 1, 1]"
3,"['tales', 'drack', 'awake']","['XYXYX', 'XXGXY', 'GGGGG']","[83, 3, 3]"
3,"['tales', 'hiply', 'blush']","['XXYXY', 'YXXYX', 'GGGGG']","[28, 4, 4]"
3,"['tales', 'nomic', 'focal']","['XYYXX', 'XGXXY', 'GGGGG']","[67, 4, 4]"
4,"['tales', 'drack', 'beady', 'evade']","['XYXYX', 'YXGXX', 'XYGGX', 'GGGGG']","[83, 4, 1, 1]"
3,"['tales', 'lanky', 'naval']","['XGYXX', 'YGYXX', 'GGGGG']","[18, 1, 1]"
4,"['tales', 'porin', 'curse', 'serve']","['XXXYY', 'XXGXX', 'XXGYG', 'GGGGG']","[69, 5, 1, 1]"
4,"['tales', 'chare', 'death', 'heath']","['YYXYX', 'XYGXY', 'XGGGG', 'GGGGG']","[24, 2, 1, 1]"
4,"['tales', 'bronc', 'award', 'dwarf']","['XYXXX', 'XYXXX', 'YGGGY', 'GGGGG']","[102, 7, 1, 1]"
4,"['tales', 'reoil', 'dowel', 'model']","['XXYGX', 'XYYXG', 'YGXGG', 'GGGGG']","[43, 6, 1, 1]"
4,"['tales', 'drony', 'march', 'karma']","['XGXXX', 'XYXXX', 'YGGXX', 'GGGGG']","[82, 5, 1, 1]"
3,"['tales', 'yourt', 'stink']","['YXXXY', 'XXXXY', 'GGGGG']","[67, 6, 6]"
3,"['tales', 'drack', 'grade']","['XYXYX', 'YGGXX', 'GGGGG']","[83, 1, 1]"
4,"['tales', 'retox', 'duvet', 'quiet']","['YXXGX', 'XYYXX', 'XGXGG', 'GGGGG']","[22, 3, 1, 1]"
3,"['tales', 'corgi', 'bench']","['XXXYX', 'YXXXX', 'GGGGG']","[165, 8, 8]"
3,"['tales', 'chare', 'abate']","['YYXYX', 'XXGXG', 'GGGGG']","[24, 3, 3]"
4,"['tales', 'corgi', 'deign', 'feign']","['XXXYX', 'XXXGY', 'XGGGG', 'GGGGG']","[165, 7, 1, 1]"
4,"['tales', 'drony', 'favor', 'major']","['XGXXX', 'XYYXX', 'XGXGG', 'GGGGG']","[82, 6, 2, 2]"
3,"['tales', 'chare', 'death']","['YYXYX', 'XYGXY', 'GGGGG']","[24, 2, 2]"
3,"['tales', 'porin', 'fresh']","['XXXYY', 'XXYXX', 'GGGGG']","[69, 2, 2]"
3,"['tales', 'yourt', 'crust']","['YXXXY', 'XXGYG', 'GGGGG']","[67, 1, 1]"
3,"['tales', 'still', 'stool']","['YXYXY', 'GGXYG', 'GGGGG']","[6, 1, 1]"
3,"['tales', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[27, 2, 2]"
4,"['tales', 'spark', 'cease', 'abase']","['XYXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[33, 4, 1, 1]"
5,"['tales', 'drony', 'harpy', 'carry', 'marry']","['XGXXX', 'XYXXG', 'XGGXG', 'XGGGG', 'GGGGG']","[82, 7, 2, 1, 1]"
3,"['tales', 'chare', 'react']","['YYXYX', 'YXGYY', 'GGGGG']","[24, 1, 1]"
4,"['tales', 'cupid', 'baton', 'batty']","['YGXXX', 'XXXXX', 'GGGXX', 'GGGGG']","[31, 5, 1, 1]"
4,"['tales', 'corgi', 'bride', 'pride']","['XXXYX', 'XXYXY', 'XGGGG', 'GGGGG']","[165, 11, 1, 1]"
2,"['tales', 'floss']","['XXYXG', 'GGGGG']","[5, 5]"
4,"['tales', 'cello', 'belie', 'helix']","['XXGYX', 'XGGYX', 'XGGGY', 'GGGGG']","[16, 3, 1, 1]"
3,"['tales', 'bronc', 'croak']","['XYXXX', 'XGGXY', 'GGGGG']","[102, 1, 1]"
4,"['tales', 'sharn', 'stack', 'staff']","['YYXXY', 'GXGXX', 'GGGXX', 'GGGGG']","[26, 4, 3, 3]"
4,"['tales', 'gaper', 'caper', 'paper']","['XGXGX', 'XGGGG', 'XGGGG', 'GGGGG']","[24, 2, 1, 1]"
3,"['tales', 'orcin', 'unfed']","['XXXGX', 'XXXXY', 'GGGGG']","[107, 3, 3]"
3,"['tales', 'olein', 'whelp']","['XXYYX', 'XYGXX', 'GGGGG']","[49, 5, 5]"
3,"['tales', 'tidal', 'trawl']","['GYYXX', 'GXXYG', 'GGGGG']","[7, 1, 1]"
3,"['tales', 'routh', 'outdo']","['YXXXX', 'XYYYX', 'GGGGG']","[87, 2, 2]"
4,"['tales', 'drack', 'anode', 'adobe']","['XYXYX', 'YXYXX', 'GXGYG', 'GGGGG']","[83, 7, 1, 1]"
5,"['tales', 'bronc', 'crack', 'cramp', 'crazy']","['XYXXX', 'XGXXY', 'GGGYX', 'GGGXX', 'GGGGG']","[102, 4, 2, 1, 1]"
4,"['tales', 'porin', 'sober', 'sower']","['XXXGY', 'XGYXX', 'GGXGG', 'GGGGG']","[31, 2, 1, 1]"
4,"['tales', 'drack', 'zebra', 'repay']","['XYXYX', 'XYYXX', 'XGXYY', 'GGGGG']","[83, 7, 1, 1]"
3,"['tales', 'routh', 'digit']","['YXXXX', 'XXXYX', 'GGGGG']","[87, 1, 1]"
3,"['tales', 'chare', 'crate']","['YYXYX', 'GXGYG', 'GGGGG']","[24, 1, 1]"
3,"['tales', 'courd', 'cluck']","['XXYXX', 'GXGXX', 'GGGGG']","[99, 3, 3]"
4,"['tales', 'porin', 'spice', 'spike']","['XXXYY', 'YXXYX', 'GGGXG', 'GGGGG']","[69, 2, 1, 1]"
4,"['tales', 'groin', 'civic', 'mimic']","['XXXXX', 'XXXGX', 'YGXGG', 'GGGGG']","[221, 6, 1, 1]"
7,"['tales', 'groin', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'XXYXY', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[221, 9, 5, 4, 3, 2, 2]"
