steps,words,feedback,ncands
4,"['dares', 'tronc', 'chair', 'cigar']","['XYYXX', 'XYXXY', 'GXYYG', 'GGGGG']","[71, 4, 1, 1]"
4,"['dares', 'trine', 'metro', 'rebut']","['XXYYX', 'YYXXY', 'XGYYX', 'GGGGG']","[71, 8, 2, 2]"
4,"['dares', 'thiol', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[141, 6, 1, 1]"
4,"['dares', 'noily', 'butch', 'humph']","['XXXXX', 'XXXXX', 'XGXXG', 'GGGGG']","[257, 7, 1, 1]"
4,"['dares', 'glace', 'knave', 'awake']","['XYXYX', 'XXGXG', 'YXGXG', 'GGGGG']","[89, 9, 2, 2]"
3,"['dares', 'thiol', 'blush']","['XXXXY', 'XYXXY', 'GGGGG']","[141, 4, 4]"
3,"['dares', 'nicol', 'focal']","['XYXXX', 'XXGYG', 'GGGGG']","[118, 3, 3]"
3,"['dares', 'abide', 'evade']","['YYXYX', 'YXXGG', 'GGGGG']","[19, 2, 2]"
4,"['dares', 'cyton', 'manga', 'naval']","['XGXXX', 'XXXXY', 'XGYXY', 'GGGGG']","[94, 5, 1, 1]"
4,"['dares', 'serum', 'serif', 'serve']","['XXGYY', 'GGGXX', 'GGGXX', 'GGGGG']","[12, 2, 1, 1]"
3,"['dares', 'glace', 'heath']","['XYXYX', 'XXGXY', 'GGGGG']","[89, 4, 4]"
3,"['dares', 'drawn', 'dwarf']","['GYYXX', 'GYGYX', 'GGGGG']","[8, 1, 1]"
3,"['dares', 'kneed', 'model']","['YXXGX', 'XXYGY', 'GGGGG']","[14, 3, 3]"
3,"['dares', 'carry', 'karma']","['XGGXX', 'XGGYX', 'GGGGG']","[16, 5, 5]"
4,"['dares', 'thiol', 'sting', 'stink']","['XXXXY', 'YXGXX', 'GGGGX', 'GGGGG']","[141, 6, 2, 2]"
3,"['dares', 'beard', 'grade']","['YYYYX', 'XYGYY', 'GGGGG']","[9, 2, 2]"
4,"['dares', 'belon', 'cheek', 'quiet']","['XXXGX', 'XYXXX', 'XXYGX', 'GGGGG']","[59, 6, 1, 1]"
4,"['dares', 'toile', 'beech', 'bench']","['XXXYX', 'XXXXY', 'GGYGG', 'GGGGG']","[151, 9, 1, 1]"
4,"['dares', 'glace', 'knave', 'abate']","['XYXYX', 'XXGXG', 'XXGXG', 'GGGGG']","[89, 9, 2, 2]"
4,"['dares', 'toile', 'being', 'feign']","['XXXYX', 'XXGXY', 'XGGYY', 'GGGGG']","[151, 6, 2, 2]"
4,"['dares', 'pylon', 'favor', 'major']","['XGYXX', 'XXXGX', 'XGXGG', 'GGGGG']","[22, 3, 2, 2]"
3,"['dares', 'delay', 'death']","['GYXYX', 'GGXYX', 'GGGGG']","[6, 1, 1]"
3,"['dares', 'shire', 'fresh']","['XXYYY', 'YYXYY', 'GGGGG']","[18, 1, 1]"
3,"['dares', 'spout', 'crust']","['XXYXY', 'YXXYG', 'GGGGG']","[34, 2, 2]"
3,"['dares', 'thiol', 'stool']","['XXXXY', 'YXXGG', 'GGGGG']","[141, 1, 1]"
3,"['dares', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[257, 1, 1]"
4,"['dares', 'spalt', 'cease', 'abase']","['XYXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[40, 4, 1, 1]"
4,"['dares', 'carry', 'harry', 'marry']","['XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 2]"
3,"['dares', 'clart', 'react']","['XYYYX', 'YXGYG', 'GGGGG']","[54, 1, 1]"
3,"['dares', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[94, 4, 4]"
2,"['dares', 'pride']","['YXYYX', 'GGGGG']","[10, 10]"
3,"['dares', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[11, 2, 2]"
4,"['dares', 'toile', 'elfin', 'helix']","['XXXYX', 'XXYYY', 'YYXGX', 'GGGGG']","[151, 2, 1, 1]"
3,"['dares', 'tronc', 'croak']","['XYYXX', 'XGGXY', 'GGGGG']","[71, 1, 1]"
4,"['dares', 'plast', 'stank', 'staff']","['XYXXY', 'XXGYY', 'GGGXX', 'GGGGG']","[63, 5, 1, 1]"
4,"['dares', 'glent', 'caper', 'paper']","['XGYGX', 'XXYXX', 'XGGGG', 'GGGGG']","[27, 8, 1, 1]"
3,"['dares', 'kneed', 'unfed']","['YXXGX', 'XGYGG', 'GGGGG']","[14, 2, 2]"
