,steps,words,feedback,ncands
0,3,"['raise', 'trail', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[18, 3, 3]"
1,3,"['raise', 'recut', 'rebut']","['GXXXY', 'GGXGG', 'GGGGG']","[20, 1, 1]"
2,4,"['raise', 'tipsy', 'missy', 'sissy']","['XXYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[6, 2, 1, 1]"
3,4,"['raise', 'uncoy', 'plumb', 'humph']","['XXXXX', 'YXXXX', 'YXYYX', 'GGGGG']","[168, 7, 1, 1]"
4,5,"['raise', 'gleba', 'knave', 'quake', 'awake']","['XYXXG', 'XXYXY', 'YXGXG', 'XXGGG', 'GGGGG']","[41, 14, 2, 1, 1]"
5,3,"['raise', 'lousy', 'blush']","['XXXGX', 'YXGGX', 'GGGGG']","[17, 4, 4]"
6,3,"['raise', 'talon', 'focal']","['XYXXX', 'XYYYX', 'GGGGG']","[92, 11, 11]"
7,5,"['raise', 'gleba', 'knave', 'ovate', 'evade']","['XYXXG', 'XXYXY', 'XXGYG', 'XGGXG', 'GGGGG']","[41, 14, 2, 1, 1]"
8,4,"['raise', 'canty', 'wagon', 'naval']","['XGXXX', 'XGYXX', 'XGXXY', 'GGGGG']","[91, 4, 2, 2]"
9,4,"['raise', 'score', 'surge', 'serve']","['YXXYG', 'GXXYG', 'GXGXG', 'GGGGG']","[10, 3, 2, 2]"
10,4,"['raise', 'leant', 'death', 'heath']","['XYXXY', 'XGGXY', 'XGGGG', 'GGGGG']","[69, 4, 1, 1]"
11,3,"['raise', 'adorn', 'dwarf']","['YYXXX', 'YYXGX', 'GGGGG']","[78, 3, 3]"
12,4,"['raise', 'olent', 'dowel', 'model']","['XXXXY', 'YYYXX', 'YGXGG', 'GGGGG']","[121, 9, 1, 1]"
13,3,"['raise', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['raise', 'lints', 'stink']","['XXGYX', 'XYYYY', 'GGGGG']","[29, 3, 3]"
15,3,"['raise', 'grace', 'grade']","['YYXXG', 'GGGXG', 'GGGGG']","[26, 5, 5]"
16,4,"['raise', 'deign', 'thief', 'quiet']","['XXGXY', 'XYGXX', 'YXGGX', 'GGGGG']","[15, 4, 1, 1]"
17,3,"['raise', 'olent', 'bench']","['XXXXY', 'XXYYX', 'GGGGG']","[121, 6, 6]"
18,4,"['raise', 'gleba', 'abode', 'abate']","['XYXXG', 'XXYYY', 'GGXXG', 'GGGGG']","[41, 3, 1, 1]"
19,3,"['raise', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[15, 1, 1]"
20,3,"['raise', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[26, 3, 3]"
21,3,"['raise', 'leant', 'death']","['XYXXY', 'XGGXY', 'GGGGG']","[69, 4, 4]"
22,3,"['raise', 'crest', 'fresh']","['YXXGY', 'XGGGX', 'GGGGG']","[7, 3, 3]"
23,2,"['raise', 'crust']","['YXXGX', 'GGGGG']","[13, 13]"
24,4,"['raise', 'tousy', 'sloth', 'stool']","['XXXYX', 'YYXYX', 'GYGYX', 'GGGGG']","[80, 7, 1, 1]"
25,3,"['raise', 'uncoy', 'colon']","['XXXXX', 'XYYGX', 'GGGGG']","[168, 1, 1]"
26,3,"['raise', 'chase', 'abase']","['XYXGG', 'XXGGG', 'GGGGG']","[8, 3, 3]"
27,3,"['raise', 'moray', 'marry']","['YGXXX', 'GXGYG', 'GGGGG']","[26, 1, 1]"
28,3,"['raise', 'relay', 'react']","['GYXXY', 'GGXYX', 'GGGGG']","[13, 3, 3]"
29,3,"['raise', 'canty', 'batty']","['XGXXX', 'XGXGG', 'GGGGG']","[91, 4, 4]"
30,3,"['raise', 'tripe', 'pride']","['YXGXG', 'XGGYG', 'GGGGG']","[17, 4, 4]"
31,3,"['raise', 'lousy', 'floss']","['XXXGX', 'YYXGX', 'GGGGG']","[17, 3, 3]"
32,3,"['raise', 'lined', 'helix']","['XXYXY', 'YYXYX', 'GGGGG']","[35, 1, 1]"
33,3,"['raise', 'adorn', 'croak']","['YYXXX', 'YXGYX', 'GGGGG']","[78, 1, 1]"
34,4,"['raise', 'talcs', 'shaft', 'staff']","['XYXYX', 'YYXXY', 'GXGGY', 'GGGGG']","[43, 7, 1, 1]"
35,5,"['raise', 'peart', 'payer', 'paler', 'paper']","['YGXXY', 'GYYYX', 'GGXGG', 'GGXGG', 'GGGGG']","[28, 4, 3, 2, 2]"
36,4,"['raise', 'olent', 'bench', 'unfed']","['XXXXY', 'XXYYX', 'XYYXX', 'GGGGG']","[121, 6, 2, 2]"
37,3,"['raise', 'olent', 'whelp']","['XXXXY', 'XYGXX', 'GGGGG']","[121, 5, 5]"
38,4,"['raise', 'adorn', 'track', 'trawl']","['YYXXX', 'YXXYX', 'GGGXX', 'GGGGG']","[78, 16, 2, 2]"
39,4,"['raise', 'uncoy', 'ought', 'outdo']","['XXXXX', 'YXXYX', 'GGXXY', 'GGGGG']","[168, 16, 1, 1]"
