,steps,words,feedback,ncands
0,5,"['stare', 'radar', 'lunar', 'vicar', 'cigar']","['XXYYX', 'YYXGG', 'XXXGG', 'XGYGG', 'GGGGG']","[64, 7, 4, 1, 1]"
1,5,"['stare', 'tenet', 'merit', 'recut', 'rebut']","['XYXYY', 'YGXYG', 'XGYXG', 'GGXGG', 'GGGGG']","[30, 5, 2, 1, 1]"
2,2,"['stare', 'sissy']","['GXXXX', 'GGGGG']","[67, 67]"
3,4,"['stare', 'doily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['stare', 'leave', 'image', 'awake']","['XXGXG', 'XYGXG', 'XXGXG', 'GGGGG']","[24, 8, 3, 3]"
5,5,"['stare', 'sissy', 'flush', 'plush', 'blush']","['YXXXX', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[38, 5, 2, 1, 1]"
6,5,"['stare', 'canal', 'local', 'vocal', 'focal']","['XXYXX', 'YYXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[127, 3, 2, 1, 1]"
7,3,"['stare', 'leave', 'evade']","['XXGXG', 'XYGYG', 'GGGGG']","[24, 1, 1]"
8,3,"['stare', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[127, 1, 1]"
9,2,"['stare', 'serve']","['GXXYG', 'GGGGG']","[4, 4]"
10,4,"['stare', 'leant', 'death', 'heath']","['XYGXY', 'XGGXY', 'XGGGG', 'GGGGG']","[11, 4, 1, 1]"
11,3,"['stare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[12, 1, 1]"
12,3,"['stare', 'melee', 'model']","['XXXXY', 'GYYGY', 'GGGGG']","[116, 1, 1]"
13,4,"['stare', 'radar', 'march', 'karma']","['XXYYX', 'YGXYY', 'YGGXX', 'GGGGG']","[64, 8, 1, 1]"
14,4,"['stare', 'stint', 'sting', 'stink']","['GGXXX', 'GGGGY', 'GGGGX', 'GGGGG']","[22, 2, 1, 1]"
15,3,"['stare', 'grave', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
16,4,"['stare', 'tenet', 'fleet', 'quiet']","['XYXXY', 'YYXGG', 'XXYGG', 'GGGGG']","[54, 7, 5, 5]"
17,4,"['stare', 'melee', 'beech', 'bench']","['XXXXY', 'XGXYY', 'GGYGG', 'GGGGG']","[116, 18, 1, 1]"
18,5,"['stare', 'plate', 'ovate', 'agate', 'abate']","['XYGXG', 'XXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[5, 3, 2, 1, 1]"
19,5,"['stare', 'melee', 'beech', 'penny', 'feign']","['XXXXY', 'XGXYY', 'XGYXX', 'XGYYX', 'GGGGG']","[116, 18, 3, 2, 2]"
20,3,"['stare', 'radar', 'major']","['XXYYX', 'YGXYG', 'GGGGG']","[64, 7, 7]"
21,3,"['stare', 'leant', 'death']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 4, 4]"
22,4,"['stare', 'riser', 'press', 'fresh']","['YXXYY', 'YXYYY', 'XGGGY', 'GGGGG']","[14, 5, 1, 1]"
23,3,"['stare', 'trust', 'crust']","['YYXYX', 'YGGGG', 'GGGGG']","[13, 1, 1]"
24,5,"['stare', 'stint', 'study', 'stock', 'stool']","['GGXXX', 'GGXXY', 'GGXXX', 'GGGXX', 'GGGGG']","[22, 9, 4, 3, 3]"
25,3,"['stare', 'doily', 'colon']","['XXXXX', 'XGXYX', 'GGGGG']","[227, 2, 2]"
26,4,"['stare', 'phase', 'lease', 'abase']","['YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[6, 3, 1, 1]"
