,steps,words,feedback,ncands
0,4,"['roate', 'array', 'sugar', 'cigar']","['YXYXX', 'YYYGX', 'XXGGG', 'GGGGG']","[35, 4, 1, 1]"
1,5,"['roate', 'reset', 'remit', 'recut', 'rebut']","['GXXYY', 'GGXYG', 'GGXXG', 'GGXGG', 'GGGGG']","[8, 4, 2, 1, 1]"
2,4,"['roate', 'sully', 'spiny', 'sissy']","['XXXXX', 'GXXXG', 'GXYXG', 'GGGGG']","[195, 5, 1, 1]"
3,4,"['roate', 'sully', 'hunch', 'humph']","['XXXXX', 'XGXXX', 'GGXXG', 'GGGGG']","[195, 11, 1, 1]"
4,4,"['roate', 'lease', 'image', 'awake']","['XXGXG', 'XYGXG', 'XXGXG', 'GGGGG']","[42, 10, 5, 5]"
5,5,"['roate', 'sully', 'flush', 'plush', 'blush']","['XXXXX', 'YYYYX', 'XGGGG', 'XGGGG', 'GGGGG']","[195, 3, 2, 1, 1]"
6,4,"['roate', 'local', 'vocal', 'focal']","['XGYXX', 'YGGGG', 'XGGGG', 'GGGGG']","[16, 2, 1, 1]"
7,5,"['roate', 'lease', 'image', 'awake', 'evade']","['XXGXG', 'XYGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[42, 10, 5, 2, 2]"
8,3,"['roate', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[112, 2, 2]"
9,3,"['roate', 'eerie', 'serve']","['YXXXG', 'YGGXG', 'GGGGG']","[39, 6, 6]"
10,3,"['roate', 'death', 'heath']","['XXGGY', 'XGGGG', 'GGGGG']","[3, 1, 1]"
11,3,"['roate', 'drama', 'dwarf']","['YXGXX', 'GYGXY', 'GGGGG']","[51, 2, 2]"
12,4,"['roate', 'gooey', 'woven', 'model']","['XGXXY', 'XGYGX', 'XGXGX', 'GGGGG']","[21, 12, 2, 2]"
13,4,"['roate', 'array', 'march', 'karma']","['YXYXX', 'YYGYX', 'YGGXX', 'GGGGG']","[35, 7, 1, 1]"
14,4,"['roate', 'stint', 'sting', 'stink']","['XXXYX', 'GGGGY', 'GGGGX', 'GGGGG']","[63, 2, 1, 1]"
15,4,"['roate', 'erase', 'grave', 'grade']","['YXGXG', 'YGGXG', 'GGGXG', 'GGGGG']","[23, 14, 4, 4]"
16,4,"['roate', 'tweet', 'inlet', 'quiet']","['XXXYY', 'YXYGG', 'YXXGG', 'GGGGG']","[56, 10, 1, 1]"
17,3,"['roate', 'sheen', 'bench']","['XXXXY', 'XYYYY', 'GGGGG']","[106, 3, 3]"
18,5,"['roate', 'state', 'plate', 'agate', 'abate']","['XXGGG', 'XYGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[7, 4, 2, 1, 1]"
19,4,"['roate', 'sheen', 'begin', 'feign']","['XXXXY', 'XXYYG', 'XGYYG', 'GGGGG']","[106, 5, 2, 2]"
20,3,"['roate', 'arbor', 'major']","['YYYXX', 'YYXGG', 'GGGGG']","[28, 7, 7]"
21,2,"['roate', 'death']","['XXGGY', 'GGGGG']","[3, 3]"
22,3,"['roate', 'freer', 'fresh']","['YXXXY', 'GGGYY', 'GGGGG']","[102, 1, 1]"
23,3,"['roate', 'trust', 'crust']","['YXXYX', 'YGGGG', 'GGGGG']","[29, 1, 1]"
24,5,"['roate', 'stout', 'stock', 'stood', 'stool']","['XYXYX', 'GGGXY', 'GGGXX', 'GGGGX', 'GGGGG']","[26, 7, 5, 2, 2]"
25,4,"['roate', 'wooly', 'solid', 'colon']","['XGXXX', 'XGYYX', 'XGGXX', 'GGGGG']","[71, 7, 1, 1]"
26,4,"['roate', 'lease', 'phase', 'abase']","['XXGXG', 'XYGGG', 'XXGGG', 'GGGGG']","[42, 3, 1, 1]"
27,5,"['roate', 'array', 'harry', 'carry', 'marry']","['YXYXX', 'YYGYG', 'XGGGG', 'XGGGG', 'GGGGG']","[35, 6, 3, 2, 2]"
28,2,"['roate', 'react']","['GXGYY', 'GGGGG']","[1, 1]"
29,5,"['roate', 'tatty', 'fatty', 'patty', 'batty']","['XXYGX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[18, 4, 3, 2, 2]"
30,6,"['roate', 'eerie', 'prime', 'prize', 'price', 'pride']","['YXXXG', 'YYYYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[39, 15, 3, 2, 1, 1]"
31,4,"['roate', 'sloop', 'gloss', 'floss']","['XYXXX', 'YGGYX', 'XGGGG', 'GGGGG']","[66, 2, 1, 1]"
32,4,"['roate', 'sheen', 'welch', 'helix']","['XXXXY', 'XYYYX', 'XGGXY', 'GGGGG']","[106, 4, 1, 1]"
33,4,"['roate', 'arbor', 'organ', 'croak']","['YYYXX', 'YGXYY', 'YGXGX', 'GGGGG']","[28, 3, 1, 1]"
34,3,"['roate', 'start', 'staff']","['XXGYX', 'GGGXY', 'GGGGG']","[23, 10, 10]"
35,4,"['roate', 'rarer', 'eager', 'paper']","['YXYXY', 'YGYGG', 'YGXGG', 'GGGGG']","[42, 18, 12, 12]"
36,5,"['roate', 'sheen', 'index', 'unwed', 'unfed']","['XXXXY', 'XXYGY', 'XGYGX', 'GGXGG', 'GGGGG']","[106, 4, 2, 1, 1]"
37,4,"['roate', 'sheen', 'check', 'whelp']","['XXXXY', 'XGGYX', 'XGGXX', 'GGGGG']","[106, 2, 1, 1]"
38,6,"['roate', 'trait', 'track', 'trash', 'tramp', 'trawl']","['YXGYX', 'GGGXY', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[20, 4, 3, 2, 1, 1]"
39,3,"['roate', 'stout', 'outdo']","['XYXYX', 'XYYYY', 'GGGGG']","[26, 2, 2]"
40,3,"['roate', 'above', 'adobe']","['XYYXG', 'GYGXG', 'GGGGG']","[7, 1, 1]"
41,4,"['roate', 'drama', 'crass', 'crazy']","['YXGXX', 'XGGXY', 'GGGXX', 'GGGGG']","[51, 22, 4, 4]"
42,7,"['roate', 'corer', 'wooer', 'power', 'lower', 'mower', 'sower']","['YGXXY', 'XGYGG', 'YGYGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[20, 17, 4, 3, 2, 1, 1]"
