steps,words,feedback,ncands
3,"['raise', 'trail', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[18, 3, 3]"
3,"['raise', 'ruler', 'rebut']","['GXXXY', 'GYXYY', 'GGGGG']","[20, 3, 3]"
3,"['raise', 'missy', 'sissy']","['XXYGX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
3,"['raise', 'mulch', 'humph']","['XXXXX', 'YGXXG', 'GGGGG']","[168, 1, 1]"
3,"['raise', 'plant', 'awake']","['XYXXG', 'XXGXX', 'GGGGG']","[41, 8, 8]"
2,"['raise', 'blush']","['XXXGX', 'GGGGG']","[17, 17]"
3,"['raise', 'clout', 'focal']","['XYXXX', 'YYYXX', 'GGGGG']","[92, 3, 3]"
5,"['raise', 'plant', 'awake', 'chafe', 'evade']","['XYXXG', 'XXGXX', 'YXGXG', 'XXGXG', 'GGGGG']","[41, 8, 3, 1, 1]"
4,"['raise', 'cyton', 'banal', 'naval']","['XGXXX', 'XXXXY', 'XGYGG', 'GGGGG']","[91, 4, 1, 1]"
3,"['raise', 'scree', 'serve']","['YXXYG', 'GXGYG', 'GGGGG']","[10, 2, 2]"
4,"['raise', 'tepal', 'death', 'heath']","['XYXXY', 'YGXYX', 'XGGGG', 'GGGGG']","[69, 4, 1, 1]"
4,"['raise', 'tronc', 'award', 'dwarf']","['YYXXX', 'XYXXX', 'YGGGY', 'GGGGG']","[78, 9, 1, 1]"
3,"['raise', 'olden', 'model']","['XXXXY', 'YYGGX', 'GGGGG']","[121, 1, 1]"
3,"['raise', 'compt', 'karma']","['YGXXX', 'XXYXX', 'GGGGG']","[26, 2, 2]"
3,"['raise', 'knelt', 'stink']","['XXGYX', 'YYXXY', 'GGGGG']","[29, 1, 1]"
4,"['raise', 'bract', 'drape', 'grade']","['YYXXG', 'XGGXX', 'YGGXG', 'GGGGG']","[26, 7, 1, 1]"
3,"['raise', 'edict', 'quiet']","['XXGXY', 'YXGXG', 'GGGGG']","[15, 1, 1]"
3,"['raise', 'olden', 'bench']","['XXXXY', 'XXXYY', 'GGGGG']","[121, 6, 6]"
3,"['raise', 'plant', 'abate']","['XYXXG', 'XXGXY', 'GGGGG']","[41, 3, 3]"
3,"['raise', 'edict', 'feign']","['XXGXY', 'YXGXX', 'GGGGG']","[15, 4, 4]"
3,"['raise', 'compt', 'major']","['YGXXX', 'XYYXX', 'GGGGG']","[26, 3, 3]"
3,"['raise', 'tepal', 'death']","['XYXXY', 'YGXYX', 'GGGGG']","[69, 4, 4]"
3,"['raise', 'cress', 'fresh']","['YXXGY', 'XGGGY', 'GGGGG']","[7, 2, 2]"
2,"['raise', 'crust']","['YXXGX', 'GGGGG']","[13, 13]"
3,"['raise', 'pluot', 'stool']","['XXXYX', 'XYXGY', 'GGGGG']","[80, 1, 1]"
3,"['raise', 'mulch', 'colon']","['XXXXX', 'XXGYX', 'GGGGG']","[168, 1, 1]"
3,"['raise', 'cease', 'abase']","['XYXGG', 'XYGGG', 'GGGGG']","[8, 2, 2]"
4,"['raise', 'compt', 'karma', 'marry']","['YGXXX', 'XXYXX', 'XGGYY', 'GGGGG']","[26, 2, 1, 1]"
4,"['raise', 'relay', 'reach', 'react']","['GYXXY', 'GGXYX', 'GGGGX', 'GGGGG']","[13, 3, 1, 1]"
3,"['raise', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[91, 4, 4]"
4,"['raise', 'tripe', 'price', 'pride']","['YXGXG', 'XGGYG', 'GGGXG', 'GGGGG']","[17, 4, 3, 3]"
3,"['raise', 'blush', 'floss']","['XXXGX', 'XGXGX', 'GGGGG']","[17, 2, 2]"
3,"['raise', 'lined', 'helix']","['XXYXY', 'YYXYX', 'GGGGG']","[35, 1, 1]"
3,"['raise', 'tronc', 'croak']","['YYXXX', 'XGGXY', 'GGGGG']","[78, 1, 1]"
4,"['raise', 'clapt', 'stand', 'staff']","['XYXYX', 'XXGXY', 'GGGXX', 'GGGGG']","[43, 4, 1, 1]"
4,"['raise', 'empty', 'caper', 'paper']","['YGXXY', 'YXGXX', 'XGGGG', 'GGGGG']","[28, 2, 1, 1]"
3,"['raise', 'olden', 'unfed']","['XXXXY', 'XXYGY', 'GGGGG']","[121, 3, 3]"
4,"['raise', 'olden', 'belch', 'whelp']","['XXXXY', 'XYXYX', 'XYYXY', 'GGGGG']","[121, 10, 1, 1]"
4,"['raise', 'tronc', 'tramp', 'trawl']","['YYXXX', 'GGXXX', 'GGGXX', 'GGGGG']","[78, 2, 1, 1]"
4,"['raise', 'mulch', 'pudgy', 'outdo']","['XXXXX', 'XGXXX', 'XGYXX', 'GGGGG']","[168, 15, 1, 1]"
4,"['raise', 'plant', 'abode', 'adobe']","['XYXXG', 'XXYXX', 'GYGYG', 'GGGGG']","[41, 4, 1, 1]"
5,"['raise', 'tronc', 'wrack', 'cramp', 'crazy']","['YYXXX', 'XGXXY', 'XGGYX', 'GGGXX', 'GGGGG']","[78, 5, 2, 1, 1]"
4,"['raise', 'shrew', 'sewer', 'sower']","['YXXYY', 'GXYGY', 'GYGGG', 'GGGGG']","[18, 2, 1, 1]"
3,"['raise', 'relay', 'repay']","['GYXXY', 'GGXGG', 'GGGGG']","[13, 1, 1]"
4,"['raise', 'ponty', 'limit', 'digit']","['XXYXX', 'XXXYX', 'XGXGG', 'GGGGG']","[107, 11, 1, 1]"
3,"['raise', 'bract', 'crate']","['YYXXG', 'XGGYY', 'GGGGG']","[26, 1, 1]"
3,"['raise', 'mulch', 'cluck']","['XXXXX', 'XYYGX', 'GGGGG']","[168, 2, 2]"
4,"['raise', 'snipe', 'spice', 'spike']","['XXGYG', 'GXGYG', 'GGGXG', 'GGGGG']","[15, 3, 2, 2]"
4,"['raise', 'ponty', 'civil', 'mimic']","['XXYXX', 'XXXXX', 'YGXGX', 'GGGGG']","[107, 10, 1, 1]"
5,"['raise', 'mulch', 'bound', 'found', 'pound']","['XXXXX', 'XYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[168, 8, 3, 2, 2]"
4,"['raise', 'panic', 'mafia', 'maxim']","['XGYXX', 'XGXGX', 'GGXGY', 'GGGGG']","[14, 4, 1, 1]"
3,"['raise', 'lined', 'linen']","['XXYXY', 'GGGGX', 'GGGGG']","[35, 1, 1]"
4,"['raise', 'olden', 'tenet', 'unmet']","['XXXXY', 'XXXGY', 'YYYGG', 'GGGGG']","[121, 2, 1, 1]"
3,"['raise', 'chess', 'flesh']","['XXXGY', 'XYGGY', 'GGGGG']","[9, 1, 1]"
4,"['raise', 'mulch', 'goody', 'booby']","['XXXXX', 'XXXXX', 'XGGXG', 'GGGGG']","[168, 16, 4, 4]"
3,"['raise', 'count', 'forth']","['YXXXX', 'XGXXY', 'GGGGG']","[103, 4, 4]"
2,"['raise', 'first']","['YXYGX', 'GGGGG']","[1, 1]"
3,"['raise', 'clapt', 'stand']","['XYXYX', 'XXGXY', 'GGGGG']","[43, 4, 4]"
4,"['raise', 'olden', 'belch', 'belly']","['XXXXY', 'XYXYX', 'GGGXX', 'GGGGG']","[121, 10, 1, 1]"
4,"['raise', 'glout', 'irony', 'ivory']","['YXYXX', 'XXGXX', 'GYGXG', 'GGGGG']","[23, 3, 1, 1]"
3,"['raise', 'spelt', 'seedy']","['XXXYY', 'GXGXX', 'GGGGG']","[41, 2, 2]"
3,"['raise', 'crypt', 'print']","['YXGXX', 'XGXYG', 'GGGGG']","[28, 1, 1]"
4,"['raise', 'blert', 'weary', 'yearn']","['YYXXY', 'XXYGX', 'XGGGY', 'GGGGG']","[34, 3, 1, 1]"
4,"['raise', 'trail', 'braid', 'drain']","['YYYXX', 'XGGGX', 'XGGGY', 'GGGGG']","[18, 4, 1, 1]"
4,"['raise', 'tripe', 'bride', 'bribe']","['YXGXG', 'XGGXG', 'GGGXG', 'GGGGG']","[17, 7, 2, 2]"
6,"['raise', 'pluot', 'scout', 'shout', 'snout', 'stout']","['XXXYX', 'XXYYG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[80, 4, 3, 2, 1, 1]"
3,"['raise', 'navel', 'panel']","['XGXXY', 'YGXGG', 'GGGGG']","[20, 1, 1]"
3,"['raise', 'brash', 'crass']","['YYXGX', 'XGGGX', 'GGGGG']","[8, 3, 3]"
4,"['raise', 'nould', 'fluke', 'flume']","['XXXXG', 'XXGYX', 'GGGXG', 'GGGGG']","[61, 4, 2, 2]"
5,"['raise', 'clout', 'loamy', 'aglow', 'offal']","['XYXXX', 'XYYXX', 'YYYXX', 'YXYYX', 'GGGGG']","[92, 8, 2, 1, 1]"
4,"['raise', 'bract', 'adore', 'agree']","['YYXXG', 'XYYXX', 'GXXYG', 'GGGGG']","[26, 3, 1, 1]"
3,"['raise', 'outed', 'error']","['YXXXY', 'YXXYX', 'GGGGG']","[102, 2, 2]"
3,"['raise', 'shirk', 'swirl']","['YXGYX', 'GXGGX', 'GGGGG']","[5, 1, 1]"
3,"['raise', 'bract', 'argue']","['YYXXG', 'XGYXX', 'GGGGG']","[26, 1, 1]"
3,"['raise', 'olden', 'bleed']","['XXXXY', 'XGYGX', 'GGGGG']","[121, 2, 2]"
4,"['raise', 'tepal', 'dealt', 'delta']","['XYXXY', 'YGXYY', 'GGYYY', 'GGGGG']","[69, 3, 1, 1]"
3,"['raise', 'clint', 'flick']","['XXGXX', 'YGGXX', 'GGGGG']","[51, 1, 1]"
4,"['raise', 'olden', 'comet', 'totem']","['XXXXY', 'YXXGX', 'XGYGY', 'GGGGG']","[121, 5, 1, 1]"
4,"['raise', 'outed', 'mower', 'wooer']","['YXXXY', 'YXXGX', 'XGYGG', 'GGGGG']","[102, 16, 1, 1]"
3,"['raise', 'count', 'front']","['YXXXX', 'XYXGG', 'GGGGG']","[103, 1, 1]"
4,"['raise', 'poynt', 'scrub', 'shrub']","['YXXYX', 'XXXXX', 'GXGGG', 'GGGGG']","[24, 4, 1, 1]"
4,"['raise', 'compt', 'parka', 'parry']","['YGXXX', 'XXXYX', 'GGGXY', 'GGGGG']","[26, 2, 1, 1]"
3,"['raise', 'lingo', 'biome']","['XXYXG', 'XGXXY', 'GGGGG']","[25, 2, 2]"
4,"['raise', 'navel', 'label', 'lapel']","['XGXXY', 'XGXGG', 'GGXGG', 'GGGGG']","[20, 5, 1, 1]"
4,"['raise', 'clapt', 'smart', 'start']","['YYXYX', 'XXGXG', 'GXGGG', 'GGGGG']","[21, 2, 1, 1]"
4,"['raise', 'outed', 'beret', 'greet']","['YXXXY', 'XXYGX', 'XYYGG', 'GGGGG']","[102, 5, 1, 1]"
8,"['raise', 'outed', 'mower', 'cover', 'joker', 'boxer', 'foyer', 'goner']","['YXXXY', 'YXXGX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[102, 16, 9, 5, 3, 2, 1, 1]"
4,"['raise', 'olden', 'hotel', 'golem']","['XXXXY', 'YYXGX', 'XGXGY', 'GGGGG']","[121, 7, 1, 1]"
3,"['raise', 'pluot', 'lusty']","['XXXYX', 'XYYXY', 'GGGGG']","[80, 1, 1]"
4,"['raise', 'mulch', 'blown', 'loopy']","['XXXXX', 'XXYXX', 'XYGXX', 'GGGGG']","[168, 14, 1, 1]"
3,"['raise', 'ruddy', 'round']","['GXXXX', 'GYYYX', 'GGGGG']","[10, 1, 1]"
3,"['raise', 'until', 'audit']","['XYYXX', 'YXYGX', 'GGGGG']","[34, 1, 1]"
3,"['raise', 'clint', 'lying']","['XXGXX', 'XYGGX', 'GGGGG']","[51, 1, 1]"
3,"['raise', 'cyton', 'gamma']","['XGXXX', 'XXXXX', 'GGGGG']","[91, 7, 7]"
4,"['raise', 'compt', 'favor', 'labor']","['YGXXX', 'XYXXX', 'XGXGG', 'GGGGG']","[26, 4, 1, 1]"
2,"['raise', 'islet']","['XXYYY', 'GGGGG']","[4, 4]"
4,"['raise', 'ponty', 'civil', 'civic']","['XXYXX', 'XXXXX', 'GGGGX', 'GGGGG']","[107, 10, 1, 1]"
3,"['raise', 'prong', 'forge']","['YXXXG', 'XYYXY', 'GGGGG']","[40, 2, 2]"
3,"['raise', 'count', 'corny']","['YXXXX', 'GGXGX', 'GGGGG']","[103, 1, 1]"
4,"['raise', 'mulch', 'mogul', 'moult']","['XXXXX', 'GYYXX', 'GGXYY', 'GGGGG']","[168, 2, 1, 1]"
2,"['raise', 'basic']","['XGYYX', 'GGGGG']","[5, 5]"
4,"['raise', 'salon', 'sally', 'salad']","['XGXYX', 'GGGXX', 'GGGYX', 'GGGGG']","[20, 3, 1, 1]"
4,"['raise', 'plant', 'abate', 'agate']","['XYXXG', 'XXGXY', 'GXGGG', 'GGGGG']","[41, 3, 1, 1]"
3,"['raise', 'knelt', 'spicy']","['XXGYX', 'XXXXX', 'GGGGG']","[29, 1, 1]"
