steps,words,feedback,ncands
3,"['dares', 'clart', 'cigar']","['XYYXX', 'GXYYX', 'GGGGG']","[71, 2, 2]"
4,"['dares', 'picot', 'exert', 'rebut']","['XXYYX', 'XXXXG', 'YXYYG', 'GGGGG']","[71, 2, 1, 1]"
4,"['dares', 'thiol', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[141, 6, 1, 1]"
4,"['dares', 'count', 'lumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[257, 17, 1, 1]"
3,"['dares', 'plant', 'awake']","['XYXYX', 'XXGXX', 'GGGGG']","[89, 9, 9]"
3,"['dares', 'thiol', 'blush']","['XXXXY', 'XYXXY', 'GGGGG']","[141, 4, 4]"
3,"['dares', 'colin', 'focal']","['XYXXX', 'YGYXX', 'GGGGG']","[118, 3, 3]"
3,"['dares', 'abide', 'evade']","['YYXYX', 'YXXGG', 'GGGGG']","[19, 2, 2]"
4,"['dares', 'cyton', 'manga', 'naval']","['XGXXX', 'XXXXY', 'XGYXY', 'GGGGG']","[94, 5, 1, 1]"
3,"['dares', 'verso', 'serve']","['XXGYY', 'YGGYX', 'GGGGG']","[12, 1, 1]"
4,"['dares', 'plant', 'abate', 'heath']","['XYXYX', 'XXGXY', 'YXGGY', 'GGGGG']","[89, 6, 2, 2]"
3,"['dares', 'drawn', 'dwarf']","['GYYXX', 'GYGYX', 'GGGGG']","[8, 1, 1]"
3,"['dares', 'widen', 'model']","['YXXGX', 'XXGGX', 'GGGGG']","[14, 2, 2]"
4,"['dares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 6, 1, 1]"
3,"['dares', 'thiol', 'stink']","['XXXXY', 'YXGXX', 'GGGGG']","[141, 6, 6]"
3,"['dares', 'beard', 'grade']","['YYYYX', 'XYGYY', 'GGGGG']","[9, 2, 2]"
3,"['dares', 'timon', 'quiet']","['XXXGX', 'YYXXX', 'GGGGG']","[59, 1, 1]"
3,"['dares', 'clint', 'bench']","['XXXYX', 'YXXYX', 'GGGGG']","[151, 6, 6]"
3,"['dares', 'plant', 'abate']","['XYXYX', 'XXGXY', 'GGGGG']","[89, 6, 6]"
3,"['dares', 'clint', 'feign']","['XXXYX', 'XXGYX', 'GGGGG']","[151, 3, 3]"
4,"['dares', 'pylon', 'favor', 'major']","['XGYXX', 'XXXGX', 'XGXGG', 'GGGGG']","[22, 3, 2, 2]"
3,"['dares', 'delay', 'death']","['GYXYX', 'GGXYX', 'GGGGG']","[6, 1, 1]"
4,"['dares', 'spire', 'crest', 'fresh']","['XXYYY', 'YXXYY', 'XGGGX', 'GGGGG']","[18, 3, 1, 1]"
3,"['dares', 'thorp', 'crust']","['XXYXY', 'YXXYX', 'GGGGG']","[34, 3, 3]"
3,"['dares', 'thiol', 'stool']","['XXXXY', 'YXXGG', 'GGGGG']","[141, 1, 1]"
4,"['dares', 'count', 'conch', 'colon']","['XXXXX', 'GGXYX', 'GGYYX', 'GGGGG']","[257, 3, 1, 1]"
4,"['dares', 'spalt', 'cease', 'abase']","['XYXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[40, 4, 1, 1]"
5,"['dares', 'party', 'carry', 'harry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 1, 1]"
3,"['dares', 'clart', 'react']","['XYYYX', 'YXGYG', 'GGGGG']","[54, 1, 1]"
3,"['dares', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[94, 4, 4]"
2,"['dares', 'pride']","['YXYYX', 'GGGGG']","[10, 10]"
2,"['dares', 'floss']","['XXXXG', 'GGGGG']","[11, 11]"
4,"['dares', 'clint', 'belie', 'helix']","['XXXYX', 'XYYXX', 'XGGGY', 'GGGGG']","[151, 5, 1, 1]"
4,"['dares', 'clart', 'cigar', 'croak']","['XYYXX', 'GXYYX', 'GXXGY', 'GGGGG']","[71, 2, 1, 1]"
4,"['dares', 'shalt', 'stank', 'staff']","['XYXXY', 'GXGXY', 'GGGXX', 'GGGGG']","[63, 5, 2, 2]"
4,"['dares', 'empty', 'caper', 'paper']","['XGYGX', 'YXGXX', 'XGGGG', 'GGGGG']","[27, 2, 1, 1]"
4,"['dares', 'widen', 'kneed', 'unfed']","['YXXGX', 'XXYGY', 'XGYGG', 'GGGGG']","[14, 2, 1, 1]"
4,"['dares', 'clint', 'below', 'whelp']","['XXXYX', 'XYXXX', 'XYYXY', 'GGGGG']","[151, 12, 1, 1]"
4,"['dares', 'clart', 'trail', 'trawl']","['XYYXX', 'XYGYY', 'GGGXG', 'GGGGG']","[71, 2, 1, 1]"
3,"['dares', 'would', 'outdo']","['YXXXX', 'XYYXY', 'GGGGG']","[46, 1, 1]"
3,"['dares', 'abide', 'adobe']","['YYXYX', 'GYXYG', 'GGGGG']","[19, 1, 1]"
5,"['dares', 'clart', 'crack', 'cramp', 'crazy']","['XYYXX', 'GXGYX', 'GGGYX', 'GGGXX', 'GGGGG']","[71, 5, 2, 1, 1]"
2,"['dares', 'sower']","['XXYGY', 'GGGGG']","[18, 18]"
4,"['dares', 'clart', 'break', 'repay']","['XYYYX', 'XXYYX', 'XYYGX', 'GGGGG']","[54, 8, 1, 1]"
3,"['dares', 'lough', 'digit']","['GXXXX', 'XXXYX', 'GGGGG']","[23, 2, 2]"
3,"['dares', 'clart', 'crate']","['XYYYX', 'GXGYY', 'GGGGG']","[54, 1, 1]"
4,"['dares', 'count', 'chuck', 'cluck']","['XXXXX', 'GXGXX', 'GXGGG', 'GGGGG']","[257, 4, 1, 1]"
4,"['dares', 'point', 'spice', 'spike']","['XXXYY', 'YXGXX', 'GGGXG', 'GGGGG']","[84, 2, 1, 1]"
