,steps,words,feedback,ncands
0,3,"['tares', 'radon', 'cigar']","['XYYXX', 'YYXXX', 'GGGGG']","[70, 22, 22]"
1,4,"['tares', 'route', 'recut', 'rebut']","['YXYYX', 'GXYYY', 'GGXGG', 'GGGGG']","[19, 2, 1, 1]"
2,3,"['tares', 'soily', 'sissy']","['XXXXY', 'GXYXG', 'GGGGG']","[94, 1, 1]"
3,4,"['tares', 'noily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 3, 1, 1]"
4,5,"['tares', 'naled', 'cheap', 'above', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GXXXG', 'GGGGG']","[81, 18, 7, 2, 2]"
5,5,"['tares', 'soily', 'flush', 'plush', 'blush']","['XXXXY', 'YXXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 3, 2, 1, 1]"
6,5,"['tares', 'aloin', 'local', 'vocal', 'focal']","['XYXXX', 'YYYXX', 'YGGGG', 'XGGGG', 'GGGGG']","[98, 9, 2, 1, 1]"
7,5,"['tares', 'naled', 'media', 'adobe', 'evade']","['XYXYX', 'XYXYY', 'XYYXY', 'YYXXG', 'GGGGG']","[81, 9, 4, 1, 1]"
8,3,"['tares', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,3,"['tares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[11, 1, 1]"
10,4,"['tares', 'lacet', 'death', 'heath']","['YYXYX', 'XYXYY', 'XGGGG', 'GGGGG']","[30, 7, 1, 1]"
11,4,"['tares', 'radon', 'award', 'dwarf']","['XYYXX', 'YYYXX', 'YGGGY', 'GGGGG']","[70, 9, 1, 1]"
12,3,"['tares', 'loden', 'model']","['XXXGX', 'YGGGX', 'GGGGG']","[56, 1, 1]"
13,5,"['tares', 'harpy', 'baron', 'larva', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'XGGXG', 'GGGGG']","[13, 5, 2, 1, 1]"
14,5,"['tares', 'hoist', 'still', 'stick', 'stink']","['YXXXY', 'XXGYY', 'GGGXX', 'GGGXG', 'GGGGG']","[55, 5, 4, 1, 1]"
15,3,"['tares', 'bread', 'grade']","['XYYYX', 'XGYYY', 'GGGGG']","[54, 3, 3]"
16,3,"['tares', 'motel', 'quiet']","['YXXGX', 'XXYGX', 'GGGGG']","[14, 3, 3]"
17,4,"['tares', 'eloin', 'dunce', 'bench']","['XXXYX', 'YXXXY', 'XXGGY', 'GGGGG']","[147, 12, 2, 2]"
18,6,"['tares', 'lacet', 'death', 'ovate', 'agate', 'abate']","['YYXYX', 'XYXYY', 'XYGGX', 'XXGGG', 'GXGGG', 'GGGGG']","[30, 7, 3, 2, 1, 1]"
19,3,"['tares', 'eloin', 'feign']","['XXXYX', 'YXXYG', 'GGGGG']","[147, 2, 2]"
20,3,"['tares', 'aroid', 'major']","['XGYXX', 'YYYXX', 'GGGGG']","[27, 10, 10]"
21,3,"['tares', 'lacet', 'death']","['YYXYX', 'XYXYY', 'GGGGG']","[30, 7, 7]"
22,3,"['tares', 'prose', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[14, 1, 1]"
23,3,"['tares', 'story', 'crust']","['YXYXY', 'YYXYX', 'GGGGG']","[14, 2, 2]"
24,5,"['tares', 'hoist', 'stock', 'stood', 'stool']","['YXXXY', 'XYXYY', 'GGGXX', 'GGGGX', 'GGGGG']","[55, 7, 5, 2, 2]"
25,3,"['tares', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 1, 1]"
26,3,"['tares', 'leash', 'abase']","['XYXYY', 'XYGGX', 'GGGGG']","[28, 1, 1]"
27,4,"['tares', 'harpy', 'carry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'GGGGG']","[13, 2, 1, 1]"
28,4,"['tares', 'great', 'heart', 'react']","['YYYYX', 'XYYYG', 'XGGYG', 'GGGGG']","[9, 2, 1, 1]"
29,5,"['tares', 'chant', 'fatal', 'patty', 'batty']","['YGXXX', 'XXYXY', 'XGGYX', 'XGGGG', 'GGGGG']","[32, 7, 4, 1, 1]"
30,3,"['tares', 'dicer', 'pride']","['XXYYX', 'YYXYY', 'GGGGG']","[57, 3, 3]"
31,4,"['tares', 'locus', 'gloss', 'floss']","['XXXXG', 'YYXXG', 'XGGGG', 'GGGGG']","[11, 2, 1, 1]"
32,4,"['tares', 'eloin', 'devil', 'helix']","['XXXYX', 'YYXGX', 'XGXGY', 'GGGGG']","[147, 3, 2, 2]"
33,4,"['tares', 'radon', 'flora', 'croak']","['XYYXX', 'YYXYX', 'XXGYY', 'GGGGG']","[70, 9, 1, 1]"
34,3,"['tares', 'slant', 'staff']","['YYXXY', 'GXGXY', 'GGGGG']","[23, 6, 6]"
35,3,"['tares', 'lager', 'paper']","['XGYGX', 'XGXGG', 'GGGGG']","[19, 8, 8]"
36,4,"['tares', 'loden', 'unwed', 'unfed']","['XXXGX', 'XXYGY', 'GGXGG', 'GGGGG']","[56, 3, 1, 1]"
37,4,"['tares', 'eloin', 'belch', 'whelp']","['XXXYX', 'YYXXX', 'XYYXY', 'GGGGG']","[147, 15, 1, 1]"
38,5,"['tares', 'track', 'train', 'tramp', 'trawl']","['GYYXX', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[10, 5, 2, 1, 1]"
39,4,"['tares', 'litho', 'motto', 'outdo']","['YXXXX', 'XXGXG', 'XYGYG', 'GGGGG']","[78, 3, 2, 2]"
40,4,"['tares', 'naled', 'media', 'adobe']","['XYXYX', 'XYXYY', 'XYYXY', 'GGGGG']","[81, 9, 4, 4]"
41,4,"['tares', 'radon', 'cigar', 'crazy']","['XYYXX', 'YYXXX', 'GXXYY', 'GGGGG']","[70, 22, 5, 5]"
42,4,"['tares', 'wiser', 'sewer', 'sower']","['XXYGY', 'YXYGG', 'GYGGG', 'GGGGG']","[15, 2, 1, 1]"
43,4,"['tares', 'bread', 'relay', 'repay']","['XYYYX', 'XYYGX', 'GGXGG', 'GGGGG']","[54, 6, 1, 1]"
44,4,"['tares', 'litho', 'fifty', 'digit']","['YXXXX', 'XGYXX', 'XGXYX', 'GGGGG']","[78, 3, 1, 1]"
45,3,"['tares', 'great', 'crate']","['YYYYX', 'XGYYY', 'GGGGG']","[9, 2, 2]"
46,5,"['tares', 'noily', 'bluff', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'XGGXX', 'GGGXX', 'GGGGG']","[227, 9, 4, 1, 1]"
