steps,words,feedback,ncands
4,"['rates', 'crown', 'chair', 'cigar']","['YYXXX', 'GYXXX', 'GXYYG', 'GGGGG']","[77, 5, 1, 1]"
2,"['rates', 'rebut']","['GXYYX', 'GGGGG']","[5, 5]"
4,"['rates', 'nkosi', 'missy', 'sissy']","['XXXXY', 'XXXGY', 'XGGGG', 'GGGGG']","[94, 4, 1, 1]"
4,"['rates', 'nould', 'jumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[227, 14, 1, 1]"
4,"['rates', 'glace', 'knave', 'awake']","['XYXYX', 'XXGXG', 'YXGXG', 'GGGGG']","[81, 8, 2, 2]"
3,"['rates', 'nkosi', 'blush']","['XXXXY', 'XXXGX', 'GGGGG']","[94, 8, 8]"
3,"['rates', 'alcid', 'focal']","['XYXXX', 'YYGXX', 'GGGGG']","[98, 3, 3]"
4,"['rates', 'glace', 'knave', 'evade']","['XYXYX', 'XXGXG', 'XXGYG', 'GGGGG']","[81, 8, 1, 1]"
4,"['rates', 'chynd', 'mango', 'naval']","['XGXXX', 'XXXYX', 'XGYXX', 'GGGGG']","[66, 8, 1, 1]"
3,"['rates', 'shone', 'serve']","['YXXYY', 'GXXXG', 'GGGGG']","[21, 3, 3]"
4,"['rates', 'glace', 'death', 'heath']","['XYYYX', 'XXGXY', 'XGGGG', 'GGGGG']","[30, 4, 1, 1]"
4,"['rates', 'crown', 'award', 'dwarf']","['YYXXX', 'XYXYX', 'YGGGY', 'GGGGG']","[77, 3, 1, 1]"
5,"['rates', 'pelon', 'bowel', 'hovel', 'model']","['XXXGX', 'XYYYX', 'XGXGG', 'XGXGG', 'GGGGG']","[56, 5, 2, 1, 1]"
3,"['rates', 'horme', 'karma']","['YGXXX', 'XXGGX', 'GGGGG']","[26, 1, 1]"
4,"['rates', 'pluot', 'stick', 'stink']","['XXYXY', 'XXXXY', 'GGGXG', 'GGGGG']","[57, 7, 1, 1]"
3,"['rates', 'grand', 'grade']","['YYXYX', 'GGGXY', 'GGGGG']","[43, 1, 1]"
4,"['rates', 'towel', 'duvet', 'quiet']","['XXYGX', 'YXXGX', 'XGXGG', 'GGGGG']","[16, 4, 1, 1]"
3,"['rates', 'cling', 'bench']","['XXXYX', 'YXXYX', 'GGGGG']","[147, 7, 7]"
3,"['rates', 'glace', 'abate']","['XYYYX', 'XXGXG', 'GGGGG']","[30, 2, 2]"
4,"['rates', 'cling', 'deign', 'feign']","['XXXYX', 'XXGYY', 'XGGGG', 'GGGGG']","[147, 3, 1, 1]"
3,"['rates', 'horme', 'major']","['YGXXX', 'XYYYX', 'GGGGG']","[26, 4, 4]"
3,"['rates', 'glace', 'death']","['XYYYX', 'XXGXY', 'GGGGG']","[30, 4, 4]"
3,"['rates', 'shone', 'fresh']","['YXXYY', 'YYXXY', 'GGGGG']","[21, 1, 1]"
