,steps,words,feedback,ncands
0,5,"['lores', 'train', 'hairy', 'vicar', 'cigar']","['XXYXX', 'XYYYX', 'XYYYX', 'XGYGG', 'GGGGG']","[109, 6, 2, 1, 1]"
1,4,"['lores', 'terai', 'recut', 'rebut']","['XXYYX', 'YGYXX', 'GGXGG', 'GGGGG']","[111, 4, 1, 1]"
2,4,"['lores', 'aitus', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGGGG', 'GGGGG']","[122, 5, 1, 1]"
3,4,"['lores', 'actin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[215, 15, 1, 1]"
4,4,"['lores', 'tinea', 'ached', 'awake']","['XXXYX', 'XXXYY', 'GXXYX', 'GGGGG']","[163, 27, 3, 3]"
5,5,"['lores', 'hails', 'flush', 'plush', 'blush']","['YXXXY', 'YXXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[58, 4, 3, 2, 2]"
6,4,"['lores', 'coaly', 'vocal', 'focal']","['YGXXX', 'YGYYX', 'XGGGG', 'GGGGG']","[27, 2, 1, 1]"
7,5,"['lores', 'tinea', 'ached', 'badge', 'evade']","['XXXYX', 'XXXYY', 'YXXYY', 'XYYXG', 'GGGGG']","[163, 27, 3, 1, 1]"
8,4,"['lores', 'inula', 'blank', 'naval']","['YXXXX', 'XYXYY', 'XYYYX', 'GGGGG']","[130, 12, 3, 3]"
9,3,"['lores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[10, 1, 1]"
10,5,"['lores', 'tinea', 'cheat', 'death', 'heath']","['XXXYX', 'YXXYY', 'XYYYY', 'XGGGG', 'GGGGG']","[163, 13, 4, 1, 1]"
11,3,"['lores', 'train', 'dwarf']","['XXYXX', 'XYGXX', 'GGGGG']","[109, 7, 7]"
12,3,"['lores', 'vowel', 'model']","['YGXGX', 'XGXGG', 'GGGGG']","[10, 3, 3]"
13,4,"['lores', 'rhyta', 'circa', 'karma']","['XXGXX', 'YXXXG', 'XXGXG', 'GGGGG']","[29, 3, 2, 2]"
14,3,"['lores', 'aitus', 'stink']","['XXXXY', 'XYYXY', 'GGGGG']","[122, 9, 9]"
15,4,"['lores', 'terai', 'grace', 'grade']","['XXYYX', 'XYYYX', 'GGGXG', 'GGGGG']","[111, 19, 4, 4]"
16,3,"['lores', 'tenia', 'quiet']","['XXXGX', 'YYXYX', 'GGGGG']","[37, 1, 1]"
17,3,"['lores', 'tinea', 'bench']","['XXXYX', 'XXGYX', 'GGGGG']","[163, 9, 9]"
18,5,"['lores', 'tinea', 'cheat', 'agate', 'abate']","['XXXYX', 'YXXYY', 'XXYYY', 'GXGGG', 'GGGGG']","[163, 13, 3, 1, 1]"
19,3,"['lores', 'tinea', 'feign']","['XXXYX', 'XYYYX', 'GGGGG']","[163, 9, 9]"
20,4,"['lores', 'noria', 'bravo', 'major']","['XYYXX', 'XYYXY', 'XYYXY', 'GGGGG']","[78, 16, 4, 4]"
21,4,"['lores', 'tinea', 'cheat', 'death']","['XXXYX', 'YXXYY', 'XYYYY', 'GGGGG']","[163, 13, 4, 4]"
22,3,"['lores', 'raise', 'fresh']","['XXYYY', 'YXXGY', 'GGGGG']","[22, 3, 3]"
23,4,"['lores', 'stair', 'trust', 'crust']","['XXYXY', 'YYXXY', 'YGGGG', 'GGGGG']","[38, 4, 1, 1]"
24,3,"['lores', 'shoal', 'stool']","['YYXXY', 'GXGXG', 'GGGGG']","[11, 4, 4]"
25,3,"['lores', 'coaly', 'colon']","['YGXXX', 'GGXYX', 'GGGGG']","[27, 1, 1]"
26,6,"['lores', 'nates', 'shape', 'usage', 'cease', 'abase']","['XXXYY', 'XYXYY', 'YXGXG', 'XYGXG', 'XYGGG', 'GGGGG']","[88, 19, 3, 2, 1, 1]"
27,4,"['lores', 'rhyta', 'carry', 'marry']","['XXGXX', 'YXYXY', 'XGGGG', 'GGGGG']","[29, 4, 2, 2]"
28,4,"['lores', 'terai', 'heart', 'react']","['XXYYX', 'YGYYX', 'XGGYG', 'GGGGG']","[111, 2, 1, 1]"
29,5,"['lores', 'actin', 'fatty', 'patty', 'batty']","['XXXXX', 'YXGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[215, 5, 3, 2, 2]"
30,3,"['lores', 'terai', 'pride']","['XXYYX', 'XYYXY', 'GGGGG']","[111, 15, 15]"
31,3,"['lores', 'gloss', 'floss']","['YYXXG', 'XGGGG', 'GGGGG']","[2, 1, 1]"
32,3,"['lores', 'telia', 'helix']","['YXXYX', 'XGGGX', 'GGGGG']","[101, 2, 2]"
