steps,words,feedback,ncands
4,"['lares', 'drant', 'agora', 'cigar']","['XYYXX', 'XYYXX', 'YYXYY', 'GGGGG']","[74, 8, 1, 1]"
3,"['lares', 'droit', 'rebut']","['XXYYX', 'XYXXG', 'GGGGG']","[81, 3, 3]"
3,"['lares', 'skint', 'sissy']","['XXXXY', 'GXYXX', 'GGGGG']","[114, 3, 3]"
4,"['lares', 'notum', 'dummy', 'humph']","['XXXXX', 'XXXYY', 'XGGYX', 'GGGGG']","[205, 10, 1, 1]"
5,"['lares', 'neath', 'adage', 'amaze', 'awake']","['XYXYX', 'XYGXX', 'GXGXG', 'GXGXG', 'GGGGG']","[59, 7, 2, 1, 1]"
3,"['lares', 'tholi', 'blush']","['YXXXY', 'XYXYX', 'GGGGG']","[35, 4, 4]"
3,"['lares', 'aloin', 'focal']","['YYXXX', 'YYYXX', 'GGGGG']","[71, 8, 8]"
4,"['lares', 'neath', 'adage', 'evade']","['XYXYX', 'XYGXX', 'YYGXG', 'GGGGG']","[59, 7, 1, 1]"
3,"['lares', 'minty', 'naval']","['YGXXX', 'XXYXX', 'GGGGG']","[23, 1, 1]"
4,"['lares', 'serum', 'serif', 'serve']","['XXGYY', 'GGGXX', 'GGGXX', 'GGGGG']","[12, 2, 1, 1]"
4,"['lares', 'neath', 'death', 'heath']","['XYXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
4,"['lares', 'drant', 'diary', 'dwarf']","['XYYXX', 'GYGXX', 'GXGGX', 'GGGGG']","[74, 2, 1, 1]"
3,"['lares', 'detox', 'model']","['YXXGX', 'YYXYX', 'GGGGG']","[29, 2, 2]"
4,"['lares', 'party', 'cargo', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 4, 1, 1]"
3,"['lares', 'skint', 'stink']","['XXXXY', 'GYGGY', 'GGGGG']","[114, 1, 1]"
4,"['lares', 'bract', 'drape', 'grade']","['XYYYX', 'XGGXX', 'YGGXG', 'GGGGG']","[56, 7, 1, 1]"
3,"['lares', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['lares', 'unite', 'bench']","['XXXYX', 'XYXXY', 'GGGGG']","[130, 7, 7]"
3,"['lares', 'neath', 'abate']","['XYXYX', 'XYGGX', 'GGGGG']","[59, 3, 3]"
4,"['lares', 'unite', 'deign', 'feign']","['XXXYX', 'XYGXY', 'XGGGG', 'GGGGG']","[130, 6, 1, 1]"
3,"['lares', 'myoid', 'major']","['XGYXX', 'GXYXX', 'GGGGG']","[26, 3, 3]"
3,"['lares', 'neath', 'death']","['XYXYX', 'XGGGG', 'GGGGG']","[59, 2, 2]"
3,"['lares', 'shire', 'fresh']","['XXYYY', 'YYXYY', 'GGGGG']","[18, 1, 1]"
3,"['lares', 'spout', 'crust']","['XXYXY', 'YXXYG', 'GGGGG']","[33, 2, 2]"
3,"['lares', 'tholi', 'stool']","['YXXXY', 'YXGYX', 'GGGGG']","[35, 1, 1]"
3,"['lares', 'yonic', 'colon']","['YXXXX', 'XGYXY', 'GGGGG']","[102, 1, 1]"
3,"['lares', 'shakt', 'abase']","['XYXYY', 'YXGXX', 'GGGGG']","[35, 3, 3]"
5,"['lares', 'party', 'carry', 'harry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 4, 2, 1, 1]"
3,"['lares', 'bract', 'react']","['XYYYX', 'XYGGG', 'GGGGG']","[56, 1, 1]"
3,"['lares', 'twiny', 'batty']","['XGXXX', 'YXXXG', 'GGGGG']","[85, 4, 4]"
4,"['lares', 'droit', 'bride', 'pride']","['XXYYX', 'YGXYX', 'XGGGG', 'GGGGG']","[81, 2, 1, 1]"
2,"['lares', 'floss']","['YXXXG', 'GGGGG']","[3, 3]"
4,"['lares', 'toile', 'devil', 'helix']","['YXXYX', 'XXYYY', 'XGXGY', 'GGGGG']","[63, 3, 1, 1]"
4,"['lares', 'drant', 'arbor', 'croak']","['XYYXX', 'XGYXX', 'YGXYY', 'GGGGG']","[74, 6, 1, 1]"
4,"['lares', 'chapt', 'stand', 'staff']","['XYXXY', 'XXGXY', 'GGGXX', 'GGGGG']","[44, 5, 1, 1]"
4,"['lares', 'twang', 'caper', 'paper']","['XGYGX', 'XXYXX', 'XGGGG', 'GGGGG']","[22, 6, 1, 1]"
3,"['lares', 'tondi', 'unfed']","['XXXGX', 'XXYYX', 'GGGGG']","[44, 3, 3]"
4,"['lares', 'toile', 'dwell', 'whelp']","['YXXYX', 'XXXGY', 'XYGGY', 'GGGGG']","[63, 6, 1, 1]"
2,"['lares', 'trawl']","['YYYXX', 'GGGGG']","[17, 17]"
3,"['lares', 'notum', 'outdo']","['XXXXX', 'XYGYX', 'GGGGG']","[205, 2, 2]"
